ID, Text
1, "Jeg har mere forstand på mine bank- og investeringsorhold end min rådgiver har"
2, "Min rådgiver skal kende mig og vide hvad jeg står for"
3, "Jeg burde gennemgå mine forsikringsaftaler oftere, men får det ikke lige gjort"
4, "Banker og forsikringsselskaber tænker kun på at sælge"
5, "Jeg bruger gerne lang tid på at forhandle og finde de bedste finansielle løsninger"
6, "Min privatøkonomi er lidt af en hobby"
7, "Hvis det er let og sparer mig tid, betyder prisen ikke så meget"
8, "Jeg gider ikke bruge tid på at optimere mine bank- og forsikringsvilkår"
9, "Jeg samler gerne både bank, forsikring og pension hos ét selskab, hvis det gør det nemmere"
10, "Jeg har brug for et personligt møde med en rådgiver, når jeg skal træffe større beslutninger om min økonomi"
11, "Jeg vil hellere have sparring fra specialister end en rådgiver, der kender mig"